Agency,Mode/Type of Service Status,UZA Name,Mode,TOS,Year,UPT,VRM,Organization Type,city,state,UZA SQ Miles,UZA Population,Service Area Population,Service Area SQ Miles,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY,rank,score,tci,jobs,trips/week,routes,transit shed (mi2),%transit,population
Virginia Railway Express,Active,"Washington--Arlington, DC--VA--MD",CR,PT,2002,3084673,1765219,Independent Public Agency or Authority of Transit Service,Woodbridge,VA,1294.51,5174759,2415555,730,31.1655338448423,13940102.0,91445138.0,62.3666755328218,9.50731594202898,949,5.2,0.7,19953,518,5,10,0.031,42663
Chattanooga Area Regional Transportation Authority,Active,"Chattanooga, TN--GA",IP,DO,2002,430748,15729,"City, County or Local Government Unit or Department of Transportation",Chattanooga,TN,291.7,398569,184086,289,0.860048664408934,3396017.0,2620302.0,5.01634335401539,6.50138316425865,2003,2.8,0.5,29469,462,3,8,0.016,184149
City of Memphis,Inactive,"Memphis, TN--MS--AR",LR,DO,2002,964900,299884,"City, County or Local Government Unit or Department of Transportation",Memphis,TN,491.27,1056190,627200,254,0.79474961207016,767616.0,4140170.0,3.58503456731968,0.664690071767021,1599,3.6,0.5,45900,501,3,21,0.01,627640
Metropolitan Atlanta Rapid Transit Authority,Active,"Atlanta, GA",HR,DO,2002,77881799,23335207,Independent Public Agency or Authority of Transit Service,Atlanta,GA,2553.04,5100112,1742072,605,7.02406728567427,43621639.0,250901225.0,8.25454242718684,1.43513316791868,247,7.5,1.9,257838,2523,10,38,0.096,494513
County of Miami-Dade,Active,"Miami--Fort Lauderdale, FL",HR,DO,2002,13977972,7437003,"City, County or Local Government Unit or Department of Transportation",Miami,FL,1244.18,6077522,2701767,306,8.040946652485,14251496.0,134613928.0,10.1509192003321,1.07467174109841,67,8.5,2.7,293807,4935,11,42,0.084,441830
County of Miami-Dade,Active,"Miami--Fort Lauderdale, FL",MG,DO,2002,5171759,1061485,"City, County or Local Government Unit or Department of Transportation",Miami,FL,1244.18,6077522,2701767,306,1.09429489488554,0.0,38169816.0,5.83092289121068,0.0,67,8.5,2.7,293807,4935,11,42,0.084,441830
Jacksonville Transportation Authority,Active,"Jacksonville, FL",MG,DO,2002,96929,256730,Independent Public Agency or Authority of Transit Service,Jacksonville,FL,573.27,1247374,1264452,1807,0.950001168430998,0.0,8217779.0,27.434022039947,0.0,1728,3.4,0.4,38618,684,3,16,0.015,952608
Hillsborough Area Regional Transit Authority,Inactive,"Tampa--St. Petersburg, FL",LR,DO,2002,75048,15661,Independent Public Agency or Authority of Transit Service,Tampa,FL,968.94,2783045,1102787,418,1.57232762038334,568291.0,2542168.0,5.06449331519108,1.13214625098863,1032,5.0,0.7,146486,991,4,29,0.019,383344
South Florida Regional Transportation Authority,Active,"Miami--Fort Lauderdale, FL",CR,PT,2002,2629265,614255,Independent Public Agency or Authority of Transit Service,Pompano Beach,FL,1244.18,6077522,133588,32,28.2399999250515,12384094.0,122731578.0,32.8519704906211,3.31489171141496,689,5.9,0.6,132676,973,3,41,0.02,110991
City of Kenosha,Inactive,"Kenosha, WI",LR,DO,2002,48181,24638,"City, County or Local Government Unit or Department of Transportation",Kenosha,WI,56.17,125865,99894,27,1.11178739980523,26698.0,285855.0,5.35349089819462,0.5,895,5.3,1.3,23740,599,7,17,0.013,94295
The Greater Cleveland Regional Transit Authority,Active,"Cleveland, OH",HR,DO,2002,4950685,1704831,Independent Public Agency or Authority of Transit Service,Cleveland,OH,713.81,1712178,1264817,458,7.12999986752457,4045712.0,39722855.0,11.4397876130865,1.1651248638527,216,7.6,1.4,153684,2368,6,40,0.083,370278
The Greater Cleveland Regional Transit Authority,Active,"Cleveland, OH",LR,DO,2002,3105246,852064,Independent Public Agency or Authority of Transit Service,Cleveland,OH,713.81,1712178,1264817,458,4.76022672867018,1040707.0,12985416.0,19.6120843420987,1.57179665706609,216,7.6,1.4,153684,2368,6,40,0.083,370278
Chicago Transit Authority,Active,"Chicago, IL--IN",HR,DO,2002,181009088,56986546,Independent Public Agency or Authority of Transit Service,Chicago,IL,2337.89,8671746,3224925,283,5.8484563608786,154677879.0,725296800.0,6.17551691765334,1.31699996270663,9,9.2,3.9,545242,6082,11,52,0.251,2723878
Northern Indiana Commuter Transportation District,Active,"Chicago, IL--IN",CR,DO,2002,3589227,2850731,Independent Public Agency or Authority of Transit Service,Chesterton,IN,2337.89,8671746,1060840,1970,32.7094337571291,9450519.0,61575115.0,40.3285716344126,6.1896097550752,3280,0.0,0.0,51,3,0,0,0.01,12198
Northeast Illinois Regional Commuter Railroad Corporation,Active,"Chicago, IL--IN",CR,DO,2002,69354239,29641280,Independent Public Agency or Authority of Transit Service,Chicago,IL,2337.89,8671746,8615017,3947,21.5437438388588,63629147.0,538808051.0,39.2077654519985,4.63013992990007,9,9.2,3.9,545242,6082,11,52,0.251,2723878
City of Detroit,Inactive,"Detroit, MI",LR,DO,2002,25612,14391,"City, County or Local Government Unit or Department of Transportation",Detroit,MI,1284.83,3776890,1033452,206,0.799720300309142,13586.0,800767.0,29.4703003091418,0.5,482,6.5,1.1,108498,1558,6,58,0.069,637041
Detroit Transportation Corporation,Active,"Detroit, MI",MG,DO,2002,274948,355936,Independent Public Agency or Authority of Transit Service,Detroit,MI,1284.83,3776890,92477,3,1.37999953966751,226656.0,15417695.0,25.3473784064604,0.372632575757576,482,6.5,1.1,108498,1558,6,58,0.069,637041
Fort Worth Transportation Authority,Active,"Dallas--Fort Worth--Arlington, TX",CR,PT,2002,843724,160697,Independent Public Agency or Authority of Transit Service,Fort Worth,TX,1746.9,5732354,927285,350,15.9407401160696,1812203.0,36897485.0,56.5743144305001,2.77862142457394,1481,3.9,0.6,27240,1142,2,8,0.006,911428
City of Galveston,Inactive,"Galveston--Texas City, TX",LR,DO,2002,50865,23709,"City, County or Local Government Unit or Department of Transportation",Galveston,TX,108.98,191863,50307,32,1.28996995461229,0.0,0.0,0.0,0.0,1296,4.3,0.9,21664,297,2,8,0.006,54099
New Orleans Regional Transit Authority,Inactive,"New Orleans, LA",LR,DO,2002,4879932,648236,Independent Public Agency or Authority of Transit Service,New Orleans,LA,270.27,963212,390144,75,2.30312519772091,4873722.0,19545920.0,3.65882796474662,0.912318803412724,316,7.1,1.4,83640,1666,6,23,0.06,380408
Dallas Area Rapid Transit,Active,"Dallas--Fort Worth--Arlington, TX",CR,PT,2002,1305409,806659,Independent Public Agency or Authority of Transit Service,Dallas,TX,1746.9,5732354,2530800,698,16.3165597818529,3579225.0,43525590.0,38.3109353462769,3.15041008208683,469,6.6,1.0,177968,2075,5,26,0.03,1330798
Dallas Area Rapid Transit,Active,"Dallas--Fort Worth--Arlington, TX",LR,DO,2002,16963173,4435050,Independent Public Agency or Authority of Transit Service,Dallas,TX,1746.9,5732354,2530800,698,7.41878460656612,14571402.0,230401742.0,11.2416384603209,0.710960046230889,469,6.6,1.0,177968,2075,5,26,0.03,1330798
Bi-State Development Agency of the Missouri-Illinois Metropolitan District,Active,"St. Louis, MO--IL",LR,DO,2002,14943289,5097368,Independent Public Agency or Authority of Transit Service,Saint Louis,MO,910.37,2156323,1563103,558,6.62973014538118,7843139.0,102561571.0,14.8942873237702,1.13900328014932,339,7.0,1.5,163458,1809,6,40,0.071,298018
Utah Transit Authority,Active,"Salt Lake City, UT",LR,DO,2002,9658719,2379377,Independent Public Agency or Authority of Transit Service,Salt Lake City,UT,300.42,1178533,2539272,607,4.42914567813592,10330916.0,98389429.0,8.90907591909617,0.93545532170743,173,7.8,1.6,195858,2682,8,36,0.065,204659
